Timestamp,MQ135,Humidity,Temperature,LDR
2025-03-24 10:19:43,393,63.00,27.10,367
2025-03-24 10:19:45,314,63.00,27.10,278
2025-03-24 10:19:47,267,63.00,27.10,296
2025-03-24 10:19:49,307,63.00,27.10,271
2025-03-24 10:19:51,258,63.00,27.10,304
2025-03-24 10:19:53,309,63.00,27.10,265
2025-03-24 10:19:55,259,70.00,27.10,307
2025-03-24 10:19:57,309,82.00,27.60,263
2025-03-24 10:19:59,266,90.00,27.60,301
2025-03-24 10:20:01,303,87.00,27.60,270
2025-03-24 10:20:03,265,85.00,27.60,296
2025-03-24 10:20:05,306,82.00,27.60,271
2025-03-24 10:20:07,264,80.00,27.60,285
2025-03-24 10:20:09,315,79.00,27.60,274
2025-03-24 10:20:11,268,79.00,27.60,267
2025-03-24 10:20:13,299,78.00,27.60,291
2025-03-24 10:20:15,275,77.00,27.60,262
2025-03-24 10:20:17,272,75.00,27.60,311
2025-03-24 10:20:19,294,73.00,27.60,264
2025-03-24 10:20:21,261,73.00,27.60,296
2025-03-24 10:20:23,313,81.00,27.60,275
2025-03-24 10:20:25,267,86.00,27.60,266
2025-03-24 10:20:27,299,86.00,27.80,298
2025-03-24 10:20:29,277,84.00,28.00,263
2025-03-24 10:20:31,270,82.00,27.70,310
2025-03-24 10:20:33,292,80.00,27.60,265
2025-03-24 10:20:35,263,78.00,27.60,302
2025-03-24 10:20:38,303,77.00,27.60,268
2025-03-24 10:20:40,263,75.00,27.60,292
2025-03-24 10:20:42,309,73.00,27.60,271
2025-03-24 10:20:44,264,73.00,27.60,284
2025-03-24 10:20:46,311,73.00,27.60,272
2025-03-24 10:20:48,264,72.00,27.60,280
